chrBase	chr	base	strand	coverage	freqC	freqT
NC_074665.1.1454383	NC_074665.1	1454383	F	22	95.45	4.55
NC_074665.1.1454612	NC_074665.1	1454612	F	21	95.24	4.76
NC_074665.1.1454616	NC_074665.1	1454616	F	23	91.30	8.70
NC_074665.1.1454663	NC_074665.1	1454663	F	21	80.95	19.05
NC_074665.1.1454669	NC_074665.1	1454669	F	20	95.00	5.00
NC_074665.1.3003126	NC_074665.1	3003126	F	28	60.71	39.29
NC_074665.1.3003180	NC_074665.1	3003180	F	79	75.95	24.05
NC_074665.1.3003234	NC_074665.1	3003234	F	89	80.90	19.10
NC_074665.1.3003288	NC_074665.1	3003288	F	35	65.71	34.29
NC_074665.1.4933822	NC_074665.1	4933822	R	20	0.00	100.00
NC_074665.1.5327164	NC_074665.1	5327164	F	25	68.00	32.00
NC_074665.1.5327166	NC_074665.1	5327166	F	25	84.00	16.00
NC_074665.1.5327189	NC_074665.1	5327189	F	30	90.00	10.00
NC_074665.1.5327191	NC_074665.1	5327191	F	26	88.46	11.54
NC_074665.1.5327214	NC_074665.1	5327214	F	27	77.78	22.22
NC_074665.1.5327216	NC_074665.1	5327216	F	25	92.00	8.00
NC_074665.1.5327239	NC_074665.1	5327239	F	23	86.96	13.04
NC_074665.1.5327241	NC_074665.1	5327241	F	20	65.00	35.00
NC_074665.1.6905179	NC_074665.1	6905179	F	20	95.00	5.00
NC_074665.1.6905221	NC_074665.1	6905221	F	24	91.67	8.33
NC_074665.1.6905263	NC_074665.1	6905263	F	20	95.00	5.00
NC_074665.1.7075821	NC_074665.1	7075821	R	28	100.00	0.00
NC_074665.1.7075826	NC_074665.1	7075826	R	24	100.00	0.00
NC_074665.1.7075840	NC_074665.1	7075840	R	26	96.15	3.85
NC_074665.1.7075849	NC_074665.1	7075849	R	29	100.00	0.00
NC_074665.1.7075854	NC_074665.1	7075854	R	29	100.00	0.00
NC_074665.1.7075868	NC_074665.1	7075868	R	28	96.43	3.57
NC_074665.1.7075877	NC_074665.1	7075877	R	29	93.10	6.90
NC_074665.1.7075882	NC_074665.1	7075882	R	26	96.15	3.85
NC_074665.1.7075896	NC_074665.1	7075896	R	30	100.00	0.00
NC_074665.1.7075905	NC_074665.1	7075905	R	30	100.00	0.00
NC_074665.1.7075910	NC_074665.1	7075910	R	31	100.00	0.00
NC_074665.1.7075924	NC_074665.1	7075924	R	31	96.77	3.23
NC_074665.1.7075933	NC_074665.1	7075933	R	32	90.62	9.38
NC_074665.1.7075938	NC_074665.1	7075938	R	22	100.00	0.00
NC_074665.1.7488799	NC_074665.1	7488799	F	23	73.91	26.09
NC_074665.1.7488816	NC_074665.1	7488816	F	20	75.00	25.00
NC_074665.1.7488833	NC_074665.1	7488833	F	25	88.00	12.00
NC_074665.1.7488850	NC_074665.1	7488850	F	27	92.59	7.41
NC_074665.1.7488867	NC_074665.1	7488867	F	26	100.00	0.00
NC_074665.1.7488884	NC_074665.1	7488884	F	29	89.66	10.34
NC_074665.1.7488901	NC_074665.1	7488901	F	26	84.62	15.38
NC_074665.1.7488918	NC_074665.1	7488918	F	30	93.33	6.67
NC_074665.1.7488935	NC_074665.1	7488935	F	25	68.00	32.00
NC_074665.1.8485287	NC_074665.1	8485287	F	20	90.00	10.00
NC_074665.1.8485303	NC_074665.1	8485303	F	22	86.36	13.64
NC_074665.1.8485315	NC_074665.1	8485315	F	23	91.30	8.70
NC_074665.1.8485331	NC_074665.1	8485331	F	24	83.33	16.67
NC_074665.1.13254747	NC_074665.1	13254747	F	20	65.00	35.00
NC_074665.1.13254868	NC_074665.1	13254868	F	23	60.87	39.13
NC_074665.1.13254905	NC_074665.1	13254905	F	24	37.50	62.50
NC_074665.1.19879818	NC_074665.1	19879818	R	27	85.19	14.81
NC_074665.1.19879868	NC_074665.1	19879868	R	24	45.83	54.17
NC_074665.1.35974815	NC_074665.1	35974815	F	20	80.00	20.00
NC_074665.1.35974838	NC_074665.1	35974838	F	20	90.00	10.00
NC_074665.1.35974851	NC_074665.1	35974851	F	21	76.19	23.81
NC_074665.1.35975154	NC_074665.1	35975154	F	20	95.00	5.00
NC_074665.1.35975204	NC_074665.1	35975204	F	20	75.00	25.00
NC_074665.1.42358920	NC_074665.1	42358920	R	21	76.19	23.81
NC_074665.1.45225816	NC_074665.1	45225816	F	20	70.00	30.00
NC_074665.1.46739820	NC_074665.1	46739820	F	20	85.00	15.00
NC_074665.1.50386866	NC_074665.1	50386866	F	20	95.00	5.00
NC_074665.1.50388218	NC_074665.1	50388218	R	24	95.83	4.17
NC_074665.1.50388222	NC_074665.1	50388222	R	24	91.67	8.33
NC_074665.1.50388225	NC_074665.1	50388225	R	28	96.43	3.57
NC_074665.1.50388228	NC_074665.1	50388228	R	28	96.43	3.57
NC_074665.1.50388231	NC_074665.1	50388231	R	28	100.00	0.00
NC_074665.1.50388234	NC_074665.1	50388234	R	28	96.43	3.57
NC_074665.1.50388240	NC_074665.1	50388240	R	27	100.00	0.00
NC_074665.1.50388247	NC_074665.1	50388247	R	24	95.83	4.17
NC_074665.1.50388253	NC_074665.1	50388253	R	22	100.00	0.00
NC_074665.1.50388260	NC_074665.1	50388260	R	21	95.24	4.76
NC_074665.1.50388265	NC_074665.1	50388265	R	21	95.24	4.76
NC_074665.1.50388282	NC_074665.1	50388282	R	25	96.00	4.00
NC_074665.1.50388288	NC_074665.1	50388288	R	21	90.48	9.52
NC_074665.1.54489259	NC_074665.1	54489259	F	22	45.45	54.55
NC_074665.1.54489331	NC_074665.1	54489331	F	26	80.77	19.23
NC_074665.1.54489339	NC_074665.1	54489339	F	28	100.00	0.00
NC_074665.1.54489618	NC_074665.1	54489618	F	25	96.00	4.00
NC_074665.1.54489622	NC_074665.1	54489622	F	26	92.31	7.69
NC_074665.1.54489639	NC_074665.1	54489639	F	22	86.36	13.64
NC_074665.1.54489658	NC_074665.1	54489658	F	25	92.00	8.00
NC_074665.1.54489684	NC_074665.1	54489684	F	23	65.22	34.78
NC_074665.1.54489693	NC_074665.1	54489693	F	20	70.00	30.00
NC_074665.1.54489385	NC_074665.1	54489385	R	20	55.00	45.00
NC_074665.1.54489694	NC_074665.1	54489694	R	20	80.00	20.00
NC_074665.1.54489715	NC_074665.1	54489715	R	20	60.00	40.00
NC_074665.1.56742812	NC_074665.1	56742812	F	20	90.00	10.00
NC_074665.1.56742815	NC_074665.1	56742815	F	21	90.48	9.52
NC_074665.1.56742817	NC_074665.1	56742817	F	20	95.00	5.00
NC_074665.1.56743091	NC_074665.1	56743091	F	20	95.00	5.00
NC_074665.1.56743102	NC_074665.1	56743102	F	22	90.91	9.09
NC_074665.1.56742785	NC_074665.1	56742785	R	21	100.00	0.00
NC_074665.1.56742813	NC_074665.1	56742813	R	24	95.83	4.17
NC_074665.1.56742816	NC_074665.1	56742816	R	21	100.00	0.00
NC_074665.1.56742818	NC_074665.1	56742818	R	24	100.00	0.00
NC_074665.1.56743061	NC_074665.1	56743061	R	22	90.91	9.09
NC_074665.1.56743092	NC_074665.1	56743092	R	21	90.48	9.52
NC_074665.1.56743103	NC_074665.1	56743103	R	20	90.00	10.00
NC_074665.1.56743127	NC_074665.1	56743127	R	20	95.00	5.00
NC_074665.1.59352898	NC_074665.1	59352898	F	20	100.00	0.00
NC_074665.1.59352956	NC_074665.1	59352956	F	24	100.00	0.00
NC_074665.1.59353201	NC_074665.1	59353201	F	23	86.96	13.04
NC_074665.1.61505867	NC_074665.1	61505867	F	22	72.73	27.27
NC_074665.1.67592096	NC_074665.1	67592096	F	25	92.00	8.00
NC_074665.1.67592104	NC_074665.1	67592104	F	26	92.31	7.69
NC_074665.1.67592111	NC_074665.1	67592111	F	30	93.33	6.67
NC_074665.1.67592156	NC_074665.1	67592156	F	23	78.26	21.74
NC_074665.1.67591803	NC_074665.1	67591803	R	21	38.10	61.90
NC_074665.1.67591845	NC_074665.1	67591845	R	20	40.00	60.00
NC_074665.1.67591866	NC_074665.1	67591866	R	22	77.27	22.73
NC_074665.1.67592157	NC_074665.1	67592157	R	20	80.00	20.00
NC_074665.1.69482361	NC_074665.1	69482361	F	70	57.14	42.86
NC_074665.1.69482661	NC_074665.1	69482661	F	39	51.28	48.72
NC_074665.1.69482362	NC_074665.1	69482362	R	60	53.33	46.67
NC_074665.1.72952009	NC_074665.1	72952009	R	26	80.77	19.23
NC_074665.1.72952019	NC_074665.1	72952019	R	27	85.19	14.81
NC_074665.1.72952030	NC_074665.1	72952030	R	27	88.89	11.11
NC_074665.1.72952042	NC_074665.1	72952042	R	26	88.46	11.54
NC_074665.1.72952049	NC_074665.1	72952049	R	27	85.19	14.81
NC_074665.1.72952054	NC_074665.1	72952054	R	24	87.50	12.50
NC_074665.1.72952060	NC_074665.1	72952060	R	25	80.00	20.00
NC_074665.1.72952077	NC_074665.1	72952077	R	25	80.00	20.00
NC_074665.1.72952093	NC_074665.1	72952093	R	23	78.26	21.74
NC_074665.1.72952251	NC_074665.1	72952251	R	20	60.00	40.00
NC_074665.1.72952280	NC_074665.1	72952280	R	20	90.00	10.00
NC_074665.1.76774364	NC_074665.1	76774364	F	40	57.50	42.50
NC_074665.1.76774418	NC_074665.1	76774418	F	25	96.00	4.00
NC_074665.1.76774428	NC_074665.1	76774428	F	23	95.65	4.35
NC_074665.1.76774435	NC_074665.1	76774435	F	20	95.00	5.00
NC_074665.1.76774474	NC_074665.1	76774474	F	20	5.00	95.00
NC_074665.1.76774365	NC_074665.1	76774365	R	20	65.00	35.00
NC_074665.1.80521880	NC_074665.1	80521880	R	25	52.00	48.00
NC_074665.1.83712574	NC_074665.1	83712574	R	28	39.29	60.71
NC_074665.1.83712648	NC_074665.1	83712648	R	29	86.21	13.79
NC_074665.1.84487849	NC_074665.1	84487849	F	20	40.00	60.00
NC_074665.1.85433197	NC_074665.1	85433197	R	25	68.00	32.00
NC_074665.1.85435112	NC_074665.1	85435112	F	24	16.67	83.33
NC_074665.1.85435208	NC_074665.1	85435208	F	53	37.74	62.26
NC_074665.1.85539144	NC_074665.1	85539144	F	22	13.64	86.36
NC_074665.1.85539173	NC_074665.1	85539173	F	23	39.13	60.87
NC_074665.1.85539200	NC_074665.1	85539200	F	21	38.10	61.90
NC_074665.1.86570201	NC_074665.1	86570201	F	20	100.00	0.00
NC_074665.1.86570231	NC_074665.1	86570231	F	35	91.43	8.57
NC_074665.1.86570261	NC_074665.1	86570261	F	43	93.02	6.98
NC_074665.1.86570291	NC_074665.1	86570291	F	38	97.37	2.63
NC_074665.1.86570321	NC_074665.1	86570321	F	30	93.33	6.67
NC_074665.1.86570351	NC_074665.1	86570351	F	22	95.45	4.55
NC_074665.1.88333217	NC_074665.1	88333217	R	23	91.30	8.70
NC_074665.1.88333252	NC_074665.1	88333252	R	25	36.00	64.00
NC_074665.1.88333266	NC_074665.1	88333266	R	23	60.87	39.13
NC_074665.1.88333297	NC_074665.1	88333297	R	24	70.83	29.17
NC_074665.1.88333301	NC_074665.1	88333301	R	27	62.96	37.04
NC_074665.1.92550947	NC_074665.1	92550947	F	23	95.65	4.35
NC_074665.1.92550995	NC_074665.1	92550995	F	24	87.50	12.50
NC_074665.1.92551355	NC_074665.1	92551355	F	34	82.35	17.65
NC_074665.1.92551403	NC_074665.1	92551403	F	44	93.18	6.82
NC_074665.1.92551451	NC_074665.1	92551451	F	46	91.30	8.70
NC_074665.1.92551499	NC_074665.1	92551499	F	27	81.48	18.52
NC_074665.1.92577383	NC_074665.1	92577383	R	22	50.00	50.00
NC_074665.1.92577403	NC_074665.1	92577403	R	23	78.26	21.74
NC_074665.1.93374544	NC_074665.1	93374544	F	21	19.05	80.95
NC_074665.1.93858926	NC_074665.1	93858926	F	58	1.72	98.28
NC_074665.1.93859039	NC_074665.1	93859039	F	109	14.68	85.32
NC_074665.1.93859076	NC_074665.1	93859076	F	87	14.94	85.06
NC_074665.1.93859078	NC_074665.1	93859078	F	27	29.63	70.37
NC_074665.1.93859113	NC_074665.1	93859113	F	69	30.43	69.57
NC_074665.1.93859150	NC_074665.1	93859150	F	73	30.14	69.86
NC_074665.1.93859114	NC_074665.1	93859114	R	29	89.66	10.34
