chrBase	chr	base	strand	coverage	freqC	freqT
NC_074665.1.267509	NC_074665.1	267509	F	25	72.00	28.00
NC_074665.1.1454383	NC_074665.1	1454383	F	21	95.24	4.76
NC_074665.1.1454612	NC_074665.1	1454612	F	20	95.00	5.00
NC_074665.1.1460029	NC_074665.1	1460029	F	20	85.00	15.00
NC_074665.1.1460038	NC_074665.1	1460038	F	20	85.00	15.00
NC_074665.1.1460298	NC_074665.1	1460298	F	20	85.00	15.00
NC_074665.1.1460345	NC_074665.1	1460345	F	20	100.00	0.00
NC_074665.1.1460356	NC_074665.1	1460356	F	22	100.00	0.00
NC_074665.1.1460372	NC_074665.1	1460372	F	20	95.00	5.00
NC_074665.1.3003180	NC_074665.1	3003180	F	62	69.35	30.65
NC_074665.1.3003234	NC_074665.1	3003234	F	62	79.03	20.97
NC_074665.1.3003288	NC_074665.1	3003288	F	29	79.31	20.69
NC_074665.1.4930977	NC_074665.1	4930977	F	24	4.17	95.83
NC_074665.1.4933822	NC_074665.1	4933822	R	25	0.00	100.00
NC_074665.1.7426817	NC_074665.1	7426817	R	25	76.00	24.00
NC_074665.1.7426865	NC_074665.1	7426865	R	22	90.91	9.09
NC_074665.1.7488884	NC_074665.1	7488884	F	20	85.00	15.00
NC_074665.1.7488901	NC_074665.1	7488901	F	21	76.19	23.81
NC_074665.1.7612671	NC_074665.1	7612671	R	21	71.43	28.57
NC_074665.1.7613807	NC_074665.1	7613807	R	34	67.65	32.35
NC_074665.1.7613904	NC_074665.1	7613904	R	33	39.39	60.61
NC_074665.1.7614001	NC_074665.1	7614001	R	20	55.00	45.00
NC_074665.1.7614033	NC_074665.1	7614033	R	21	47.62	52.38
NC_074665.1.7614357	NC_074665.1	7614357	R	28	57.14	42.86
NC_074665.1.7614520	NC_074665.1	7614520	R	22	50.00	50.00
NC_074665.1.13254747	NC_074665.1	13254747	F	20	60.00	40.00
NC_074665.1.15790993	NC_074665.1	15790993	F	20	85.00	15.00
NC_074665.1.15791028	NC_074665.1	15791028	F	26	53.85	46.15
NC_074665.1.15791063	NC_074665.1	15791063	F	25	60.00	40.00
NC_074665.1.15791133	NC_074665.1	15791133	F	22	95.45	4.55
NC_074665.1.19879818	NC_074665.1	19879818	R	20	60.00	40.00
NC_074665.1.25389173	NC_074665.1	25389173	F	26	65.38	34.62
NC_074665.1.25389449	NC_074665.1	25389449	F	42	59.52	40.48
NC_074665.1.35171332	NC_074665.1	35171332	R	21	100.00	0.00
NC_074665.1.35171368	NC_074665.1	35171368	R	23	86.96	13.04
NC_074665.1.35171377	NC_074665.1	35171377	R	28	82.14	17.86
NC_074665.1.35171401	NC_074665.1	35171401	R	24	100.00	0.00
NC_074665.1.35171680	NC_074665.1	35171680	R	24	83.33	16.67
NC_074665.1.35975221	NC_074665.1	35975221	R	21	80.95	19.05
NC_074665.1.50386845	NC_074665.1	50386845	F	20	100.00	0.00
NC_074665.1.50386860	NC_074665.1	50386860	F	20	100.00	0.00
NC_074665.1.50388225	NC_074665.1	50388225	R	21	90.48	9.52
NC_074665.1.50388231	NC_074665.1	50388231	R	21	95.24	4.76
NC_074665.1.54489331	NC_074665.1	54489331	F	22	90.91	9.09
NC_074665.1.54489339	NC_074665.1	54489339	F	24	95.83	4.17
NC_074665.1.54489384	NC_074665.1	54489384	F	25	96.00	4.00
NC_074665.1.54489618	NC_074665.1	54489618	F	20	95.00	5.00
NC_074665.1.54489658	NC_074665.1	54489658	F	23	95.65	4.35
NC_074665.1.54489684	NC_074665.1	54489684	F	23	60.87	39.13
NC_074665.1.54489693	NC_074665.1	54489693	F	22	95.45	4.55
NC_074665.1.54489332	NC_074665.1	54489332	R	24	87.50	12.50
NC_074665.1.54489340	NC_074665.1	54489340	R	21	100.00	0.00
NC_074665.1.54489385	NC_074665.1	54489385	R	25	76.00	24.00
NC_074665.1.54489619	NC_074665.1	54489619	R	23	95.65	4.35
NC_074665.1.54489623	NC_074665.1	54489623	R	23	95.65	4.35
NC_074665.1.54489640	NC_074665.1	54489640	R	22	95.45	4.55
NC_074665.1.54489659	NC_074665.1	54489659	R	25	96.00	4.00
NC_074665.1.54489685	NC_074665.1	54489685	R	25	80.00	20.00
NC_074665.1.54489694	NC_074665.1	54489694	R	27	81.48	18.52
NC_074665.1.56742812	NC_074665.1	56742812	F	20	100.00	0.00
NC_074665.1.56743102	NC_074665.1	56743102	F	20	100.00	0.00
NC_074665.1.61506726	NC_074665.1	61506726	F	20	90.00	10.00
NC_074665.1.61506727	NC_074665.1	61506727	R	22	90.91	9.09
NC_074665.1.67592096	NC_074665.1	67592096	F	20	100.00	0.00
NC_074665.1.67592104	NC_074665.1	67592104	F	21	100.00	0.00
NC_074665.1.67592111	NC_074665.1	67592111	F	22	90.91	9.09
NC_074665.1.69327453	NC_074665.1	69327453	F	20	70.00	30.00
NC_074665.1.69327454	NC_074665.1	69327454	R	28	60.71	39.29
NC_074665.1.69327496	NC_074665.1	69327496	R	29	89.66	10.34
NC_074665.1.69327517	NC_074665.1	69327517	R	25	96.00	4.00
NC_074665.1.69327739	NC_074665.1	69327739	R	27	88.89	11.11
NC_074665.1.69368173	NC_074665.1	69368173	F	20	95.00	5.00
NC_074665.1.69369830	NC_074665.1	69369830	F	24	91.67	8.33
NC_074665.1.69369867	NC_074665.1	69369867	F	21	95.24	4.76
NC_074665.1.69369889	NC_074665.1	69369889	F	22	77.27	22.73
NC_074665.1.69369905	NC_074665.1	69369905	F	23	73.91	26.09
NC_074665.1.69482361	NC_074665.1	69482361	F	65	76.92	23.08
NC_074665.1.69482661	NC_074665.1	69482661	F	38	73.68	26.32
NC_074665.1.69482362	NC_074665.1	69482362	R	69	66.67	33.33
NC_074665.1.69482662	NC_074665.1	69482662	R	25	72.00	28.00
NC_074665.1.72952030	NC_074665.1	72952030	R	20	90.00	10.00
NC_074665.1.72952042	NC_074665.1	72952042	R	20	95.00	5.00
NC_074665.1.77268524	NC_074665.1	77268524	F	21	42.86	57.14
NC_074665.1.77268564	NC_074665.1	77268564	F	27	62.96	37.04
NC_074665.1.77268618	NC_074665.1	77268618	F	28	60.71	39.29
NC_074665.1.80521880	NC_074665.1	80521880	R	22	50.00	50.00
NC_074665.1.85433197	NC_074665.1	85433197	R	30	46.67	53.33
NC_074665.1.85433343	NC_074665.1	85433343	R	31	67.74	32.26
NC_074665.1.85435112	NC_074665.1	85435112	F	39	43.59	56.41
NC_074665.1.85435208	NC_074665.1	85435208	F	52	25.00	75.00
NC_074665.1.86442324	NC_074665.1	86442324	F	24	91.67	8.33
NC_074665.1.86570231	NC_074665.1	86570231	F	23	91.30	8.70
NC_074665.1.86570261	NC_074665.1	86570261	F	24	91.67	8.33
NC_074665.1.86570291	NC_074665.1	86570291	F	20	100.00	0.00
NC_074665.1.92377200	NC_074665.1	92377200	F	21	85.71	14.29
NC_074665.1.92377214	NC_074665.1	92377214	F	21	85.71	14.29
NC_074665.1.92377216	NC_074665.1	92377216	F	22	86.36	13.64
NC_074665.1.92377220	NC_074665.1	92377220	F	23	82.61	17.39
NC_074665.1.92377229	NC_074665.1	92377229	F	25	88.00	12.00
NC_074665.1.92377231	NC_074665.1	92377231	F	22	90.91	9.09
NC_074665.1.92377242	NC_074665.1	92377242	F	23	91.30	8.70
NC_074665.1.92377247	NC_074665.1	92377247	F	22	77.27	22.73
NC_074665.1.92377253	NC_074665.1	92377253	F	23	86.96	13.04
NC_074665.1.92377257	NC_074665.1	92377257	F	22	81.82	18.18
NC_074665.1.92388759	NC_074665.1	92388759	R	26	84.62	15.38
NC_074665.1.92388763	NC_074665.1	92388763	R	24	83.33	16.67
NC_074665.1.92388774	NC_074665.1	92388774	R	22	100.00	0.00
NC_074665.1.92551355	NC_074665.1	92551355	F	22	90.91	9.09
NC_074665.1.92551403	NC_074665.1	92551403	F	32	93.75	6.25
NC_074665.1.92551451	NC_074665.1	92551451	F	34	91.18	8.82
NC_074665.1.92551499	NC_074665.1	92551499	F	27	70.37	29.63
NC_074665.1.93859039	NC_074665.1	93859039	F	27	11.11	88.89
NC_074665.1.93859076	NC_074665.1	93859076	F	23	21.74	78.26
NC_074665.1.94340176	NC_074665.1	94340176	R	20	95.00	5.00
NC_074665.1.94340222	NC_074665.1	94340222	R	25	100.00	0.00
NC_074665.1.94340245	NC_074665.1	94340245	R	24	91.67	8.33
NC_074665.1.94340268	NC_074665.1	94340268	R	25	96.00	4.00
NC_074665.1.94506334	NC_074665.1	94506334	F	23	69.57	30.43
NC_074665.1.94506347	NC_074665.1	94506347	F	23	91.30	8.70
NC_074665.1.94506367	NC_074665.1	94506367	F	22	72.73	27.27
NC_074665.1.94520847	NC_074665.1	94520847	F	21	28.57	71.43
NC_074665.1.94520815	NC_074665.1	94520815	R	22	40.91	59.09
NC_074665.1.94520848	NC_074665.1	94520848	R	21	66.67	33.33
NC_074665.1.95019472	NC_074665.1	95019472	R	27	25.93	74.07
NC_074665.1.95019518	NC_074665.1	95019518	R	22	40.91	59.09
NC_074665.1.95036143	NC_074665.1	95036143	R	20	85.00	15.00
NC_074665.1.95036181	NC_074665.1	95036181	R	25	92.00	8.00
NC_074665.1.95036193	NC_074665.1	95036193	R	26	7.69	92.31
NC_074665.1.95036219	NC_074665.1	95036219	R	25	88.00	12.00
NC_074665.1.95036231	NC_074665.1	95036231	R	25	4.00	96.00
NC_074665.1.95036257	NC_074665.1	95036257	R	26	92.31	7.69
NC_074665.1.95303327	NC_074665.1	95303327	F	20	30.00	70.00
NC_074665.1.95493359	NC_074665.1	95493359	R	20	100.00	0.00
