chrBase	chr	base	strand	coverage	freqC	freqT
NC_074665.1.266067	NC_074665.1	266067	R	32	62.50	37.50
NC_074665.1.267509	NC_074665.1	267509	F	29	72.41	27.59
NC_074665.1.267558	NC_074665.1	267558	F	33	75.76	24.24
NC_074665.1.267510	NC_074665.1	267510	R	30	43.33	56.67
NC_074665.1.267559	NC_074665.1	267559	R	29	82.76	17.24
NC_074665.1.726038	NC_074665.1	726038	F	20	95.00	5.00
NC_074665.1.1454383	NC_074665.1	1454383	F	25	76.00	24.00
NC_074665.1.1454612	NC_074665.1	1454612	F	29	93.10	6.90
NC_074665.1.1454616	NC_074665.1	1454616	F	30	93.33	6.67
NC_074665.1.1454663	NC_074665.1	1454663	F	28	89.29	10.71
NC_074665.1.1454669	NC_074665.1	1454669	F	24	87.50	12.50
NC_074665.1.1454384	NC_074665.1	1454384	R	23	82.61	17.39
NC_074665.1.1454613	NC_074665.1	1454613	R	28	92.86	7.14
NC_074665.1.1454617	NC_074665.1	1454617	R	29	89.66	10.34
NC_074665.1.1454664	NC_074665.1	1454664	R	21	85.71	14.29
NC_074665.1.1454670	NC_074665.1	1454670	R	24	91.67	8.33
NC_074665.1.1460298	NC_074665.1	1460298	F	20	80.00	20.00
NC_074665.1.1460030	NC_074665.1	1460030	R	20	95.00	5.00
NC_074665.1.3003180	NC_074665.1	3003180	F	57	64.91	35.09
NC_074665.1.3003234	NC_074665.1	3003234	F	49	75.51	24.49
NC_074665.1.3003288	NC_074665.1	3003288	F	23	73.91	26.09
NC_074665.1.3003450	NC_074665.1	3003450	F	24	66.67	33.33
NC_074665.1.3629842	NC_074665.1	3629842	F	23	73.91	26.09
NC_074665.1.3630092	NC_074665.1	3630092	F	20	85.00	15.00
NC_074665.1.3630106	NC_074665.1	3630106	F	22	50.00	50.00
NC_074665.1.3630111	NC_074665.1	3630111	F	22	77.27	22.73
NC_074665.1.3630118	NC_074665.1	3630118	F	21	80.95	19.05
NC_074665.1.3630121	NC_074665.1	3630121	F	21	80.95	19.05
NC_074665.1.7075821	NC_074665.1	7075821	R	21	95.24	4.76
NC_074665.1.7075826	NC_074665.1	7075826	R	20	95.00	5.00
NC_074665.1.7075840	NC_074665.1	7075840	R	25	100.00	0.00
NC_074665.1.7075849	NC_074665.1	7075849	R	22	100.00	0.00
NC_074665.1.7075854	NC_074665.1	7075854	R	22	100.00	0.00
NC_074665.1.7075868	NC_074665.1	7075868	R	27	100.00	0.00
NC_074665.1.7075877	NC_074665.1	7075877	R	26	96.15	3.85
NC_074665.1.7075882	NC_074665.1	7075882	R	24	100.00	0.00
NC_074665.1.7075896	NC_074665.1	7075896	R	29	89.66	10.34
NC_074665.1.7075905	NC_074665.1	7075905	R	28	85.71	14.29
NC_074665.1.7075910	NC_074665.1	7075910	R	24	100.00	0.00
NC_074665.1.7075924	NC_074665.1	7075924	R	29	89.66	10.34
NC_074665.1.7075933	NC_074665.1	7075933	R	29	82.76	17.24
NC_074665.1.7075938	NC_074665.1	7075938	R	20	100.00	0.00
NC_074665.1.7075952	NC_074665.1	7075952	R	24	87.50	12.50
NC_074665.1.7488799	NC_074665.1	7488799	F	39	66.67	33.33
NC_074665.1.7488816	NC_074665.1	7488816	F	46	65.22	34.78
NC_074665.1.7488833	NC_074665.1	7488833	F	48	68.75	31.25
NC_074665.1.7488850	NC_074665.1	7488850	F	54	72.22	27.78
NC_074665.1.7488867	NC_074665.1	7488867	F	52	71.15	28.85
NC_074665.1.7488884	NC_074665.1	7488884	F	50	74.00	26.00
NC_074665.1.7488901	NC_074665.1	7488901	F	51	78.43	21.57
NC_074665.1.7488918	NC_074665.1	7488918	F	48	68.75	31.25
NC_074665.1.7488935	NC_074665.1	7488935	F	44	50.00	50.00
NC_074665.1.7944993	NC_074665.1	7944993	R	21	100.00	0.00
NC_074665.1.8117563	NC_074665.1	8117563	F	22	63.64	36.36
NC_074665.1.8117567	NC_074665.1	8117567	F	25	0.00	100.00
NC_074665.1.8117607	NC_074665.1	8117607	F	21	85.71	14.29
NC_074665.1.13254868	NC_074665.1	13254868	F	21	52.38	47.62
NC_074665.1.13254905	NC_074665.1	13254905	F	24	45.83	54.17
NC_074665.1.13254942	NC_074665.1	13254942	F	22	72.73	27.27
NC_074665.1.15791133	NC_074665.1	15791133	F	21	90.48	9.52
NC_074665.1.19879818	NC_074665.1	19879818	R	27	74.07	25.93
NC_074665.1.19879868	NC_074665.1	19879868	R	26	50.00	50.00
NC_074665.1.25389173	NC_074665.1	25389173	F	26	53.85	46.15
NC_074665.1.25389449	NC_074665.1	25389449	F	48	27.08	72.92
NC_074665.1.25389450	NC_074665.1	25389450	R	31	19.35	80.65
NC_074665.1.26924805	NC_074665.1	26924805	F	20	80.00	20.00
NC_074665.1.30758042	NC_074665.1	30758042	F	21	0.00	100.00
NC_074665.1.30758331	NC_074665.1	30758331	F	25	84.00	16.00
NC_074665.1.30758336	NC_074665.1	30758336	F	24	91.67	8.33
NC_074665.1.30758350	NC_074665.1	30758350	F	24	50.00	50.00
NC_074665.1.30758355	NC_074665.1	30758355	F	24	87.50	12.50
NC_074665.1.30758362	NC_074665.1	30758362	F	21	85.71	14.29
NC_074665.1.30758365	NC_074665.1	30758365	F	22	90.91	9.09
NC_074665.1.31554169	NC_074665.1	31554169	R	21	100.00	0.00
NC_074665.1.31554180	NC_074665.1	31554180	R	23	95.65	4.35
NC_074665.1.31554183	NC_074665.1	31554183	R	22	68.18	31.82
NC_074665.1.31554196	NC_074665.1	31554196	R	22	100.00	0.00
NC_074665.1.31554219	NC_074665.1	31554219	R	20	90.00	10.00
NC_074665.1.34691733	NC_074665.1	34691733	F	21	80.95	19.05
NC_074665.1.34691734	NC_074665.1	34691734	R	20	80.00	20.00
NC_074665.1.34692034	NC_074665.1	34692034	R	20	85.00	15.00
NC_074665.1.35171679	NC_074665.1	35171679	F	21	76.19	23.81
NC_074665.1.35171368	NC_074665.1	35171368	R	28	85.71	14.29
NC_074665.1.35171377	NC_074665.1	35171377	R	27	88.89	11.11
NC_074665.1.35171401	NC_074665.1	35171401	R	24	87.50	12.50
NC_074665.1.35171605	NC_074665.1	35171605	R	21	85.71	14.29
NC_074665.1.35171618	NC_074665.1	35171618	R	24	91.67	8.33
NC_074665.1.35171680	NC_074665.1	35171680	R	27	96.30	3.70
NC_074665.1.35974812	NC_074665.1	35974812	F	20	100.00	0.00
NC_074665.1.35974815	NC_074665.1	35974815	F	21	100.00	0.00
NC_074665.1.35974838	NC_074665.1	35974838	F	21	90.48	9.52
NC_074665.1.35974851	NC_074665.1	35974851	F	20	85.00	15.00
NC_074665.1.35975154	NC_074665.1	35975154	F	21	90.48	9.52
NC_074665.1.35975159	NC_074665.1	35975159	F	20	85.00	15.00
NC_074665.1.38722392	NC_074665.1	38722392	R	23	82.61	17.39
